id,title,category,prepTime,servings,ingredientsList,instructionsList
11,"Ciasto jogurtowe ze śliwkami","Ciasta",60,8,"2.5 szkl mąki; 3/4 szkl cukru; 2 jajka; 0.5 szkl oleju; 1 szkl maślanki; 3 łyżeczki proszku do pieczenia; 1 cukier waniliowy","Wymieszać składniki suche: mąkę, cukier, proszek do pieczenia i cukier waniliowy.; Dodać jajka, olej i maślankę, dokładnie wymieszać.; Przelać ciasto do formy i ułożyć śliwki na wierzchu.; Piec w temperaturze 180°C przez około 50 minut."
12,"Ciasto Izaura/Murzynek","Ciasta",70,10,"3/4 szkl cukru; 3/4 szkl mąki; 3 jajka; szczypta soli; 1 łyżeczka proszku do pieczenia; 1 szkl sera; 1/2 cukru; 1 jajko; 3 łyżki mąki","Po przygotowaniu ciasta podstawowego, podpiec je wstępnie.; Przygotować masę serową: wymieszać ser z cukrem, dodać jajko i mąkę.; Wyłożyć masę serową na podpieczone ciasto.; Piec w temperaturze 180°C przez około 50 minut."
13,"Ciasto Marchewkowe","Ciasta",60,8,"2 łyżeczki cynamonu; szczypta soli; 1 łyżeczka sody; 1 łyżeczka proszku do pieczenia; cukru 1/2 łyżeczki; 200g migdałów drobnych w blendarze; 100g płatków owsianych; 4 jaja; 270g marchewi miałkiej napór","Wymieszać składniki suche: mąkę, cynamon, sól, sodę i proszek do pieczenia.; Dodać migdały, płatki owsiane i cukier.; W osobnej misce ubić jajka i dodać startą marchew.; Połączyć wszystkie składniki i dokładnie wymieszać.; Piec w temperaturze 180°C."
14,"Ciasto cytrynowe","Ciasta",50,8,"2 szkl mąki tortowej; 4 łyżki śmietany aromatycznej; 4 jajka; 3/4 szkl. cukru; 3/4 szkl. oleju; 1/2 szkl. soku cytrynowego; sok z 1 cytryny + skórka; 2 łyżeczki proszku do pieczenia","Wymieszać mąkę z proszkiem do pieczenia.; Ubić jajka z cukrem.; Dodać olej, sok cytrynowy i skórkę, wymieszać.; Dodać mąkę i śmietanę, dokładnie wymieszać.; Piec w temperaturze 180°C przez około 50 minut."
15,"Kawa","Napój",5,2,"0,5 l mleka; 4 łyżki kawy","Brak szczegółowych instrukcji."
16,"Chleb domowy","Pieczywo",120,8,"Mąka; 1 op. drożdży; 1 łyżka soli; 1 łyżka cukru; 1 łyżka smalcu; 1 łyżka oliwy; 1 łyżka oleju; woda","Brak szczegółowych instrukcji."
17,"Kruszonka do ciasta drożdżowego","Wypieki",10,8,"1/4 masła; 2-3 łyżki mąki; 1/4 szklanki cukru","Kruszonka musi być trochę sucha."
18,"Knedle","Danie główne",30,4,"Gotowane ziemniaki; mąka tortowa; żółtko; pół łyżki masła","Brak szczegółowych instrukcji."
19,"Kluski serowe kłodzkie Giseli","Danie główne",40,4,"1/2 kg sera białego; 2 jajka; 3/4 szklanki mąki; 2 łyżki mąki tortowej; 3 łyżki cukru; trochę soli","Brak szczegółowych instrukcji."
20,"Kalarepka z marchewką","Danie główne",30,4,"Kalarepka; marchewka; jajko; sól; przyprawa; cukier; mąka","Obsmażyć kalarepkę i marchewkę utarte na grubej tarce.; Dodać jajko, osolić, doprawić i dodać cukier.; Uformować kotlety.; Smażyć ok. 15 min.; Pod koniec ponownie oprószyć mąką i zasmażyć.; Podać do ziemniaków i mięsa."
21,"Murzynek","Ciasto",60,8,"1 1/2 szklanki cukru; 1 opakowanie cukru waniliowego; 4 pełne duże łyżki kakao; 3/4-1 szklanki wody; 4 jajka; 2 łyżki mąki tortowej; 1 łyżka proszku do pieczenia","Wymieszać składniki (cukier, cukier waniliowy, kakao, woda) razem na wolnym ogniu i chwilę pogotować.; Po ostudzeniu dodać 4 żółtka, 2 łyżki mąki tortowej, 1 łyżkę proszku do pieczenia.; Dodać pianę z 4 białek.; Piec ok. 40-45 min.; Polać polewą z białej śmietany z czekoladą."
22,"Masa do wafli","Deser",15,10,"1 kostka margaryny (masła); 2 szklanki odtłuszczonego mleka w proszku; 1 szklanka mąki; 15 łyżek cukru; 2 żółtka","Wszystko wymieszać i podgrzać do temp. 60°C.; Ciepłą masą polać wafle."
23,"Pizza","Danie główne",45,4,"2 szklanki mąki; 1 żółtko; 2 dag drożdży; 3/4 szklanki wody; 1 łyżka oliwy; 1 łyżeczka cukru; szczypta soli; dodatki: sos pomidorowy; ser; pieczarki; boczek; szpinak","Brak szczegółowych instrukcji."
24,"Racuszki na proszku do pieczenia","Deser",20,4,"1,5 szkl mąki; 300 ml mleka; 2 szt. jajka; 3 łyżeczki proszku do pieczenia","Brak szczegółowych instrukcji."
25,"Szarlotka - ciasto kruche","Ciasto",60,8,"3 szkl. mąki (tortowej); 4 żółtka; 3/4 kostki masła lub margaryny; 1/2 szkl. kwaśnej śmietany; 1/2 szkl. cukru; proszek do pieczenia na 0,5 kg","Wszystko posiekać nożem, chwilę zagnieść, schłodzić.; Wstawić do nagrzanego piekarnika."
26,"Szybka szarlotka","Ciasto",90,8,"60 dag ementaler; 25 dag mąki tortowej; 1 łyżeczka proszku do pieczenia; 20 dag cukru pudru; cukier waniliowy; 3 jajka; 1/2 kostki masła lub margaryny; szczypta soli","Jabłka obrać w cienkie plastry.; Płaską blachę do tostownicy posypać mąką.; Ułożyć ciasto, posypać jabłkami.; Posypać tartymi herbatnikami.; Wstawić do nagrzanego piekarnika.; Piec na średnim ogniu (ponad 1h)."
27,"Sernik gotowany","Ciasto",30,8,"1 kg sera śmietankowego w kostce; 1 kostka masła; 3 jajka; 1 szkl. cukru; cukier waniliowy; budyń 0,5 l (rozrobić w 6 małych łyżkach mleka)","Masło + cukier rozpuścić i dodać ser, jajka.; Gotować ok. 10 min + budyń i bakalie.; Wlać do formy wyłożonej herbatnikami."
28,"Skubaniec","Ciasto",45,10,"4 szkl. mąki tortowej; 2 łyżki proszku; 1 szkl. cukru; 1 1/2 kostki masła; 6 żółtek; 3 łyżki śmietany","Zmieszać z serem.; Dodać pianę z białek.; Dodać owoce."
29,"Sernik z rodzynkami","Ciasto",60,10,"1 kg sera; 4 żółtka; 1 jajko; 3/4 szkl. cukru; 1/2 szkl. oleju; 2 szkl. mleka; 2 budynie śmietankowe","Utrzeć żółtka + jajko z cukrem.; Dodać ser i olej, budynie rozpuszczone w mleku.; Wlać na blachę z biszkoptami.; Pianę z białek ubić, nałożyć na podpieczony sernik i posypać wiórkami kokosowymi.; Piec dłużej."
30,"Śledź w sosie chrzanowym","Przystawka",30,4,"8 matjasów; 1 jajko; 1 śmietana; pietruszka; 2 łyżki rodzynek; 2 łyżki tartego chrzanu; sok z 1/2 cytryny; sól; biały pieprz; cukier; plastry cytryny do dekoracji","Ugotowane jajko drobno posiekać.; Namoczone śledzie pokroić.; Natkę pietruszki posiekać, a część zostawić do dekoracji.; Śmietanę wymieszać z chrzanem, jajkiem i natką.; Doprawić solą, pieprzem, cukrem i sokiem z cytryny.; Dodać osączone rodzynki."
31,"Sałatka ryżowa po meksykańsku","Przystawka",25,6,"1 szkl. ryżu; puszka kukurydzy; 4-5 parówek; 1 średnia papryka; 3 pomidory; 5 jajek; 2-3 łyżki majonezu; natka pietruszki; sól; pieprz; cukier","Ryż gotowany, studzony.; Parówki krojone w talarki, pomidory i papryki w kostkę.; Sos rozetrzeć z solą, dodać olej, oliwę, sok z cytryny, natkę.; Wszystko mieszamy i chłodzimy."
32,"Sałatka imprezowa","Przystawka",40,8,"30 dkg chudej pieczeni wędzonej; 2 pęczki szczypiorku; 15 dag marchewki; 40 dkg pietruszki; 20 dkg selera; szklanka grochu zielonego; 1 jabłko; 3 jajka; 4 łyżki drobno posiekanych grzybów; 1 szkl. sosu majonezowego; 2 łyżki musztardy; szczypiorek; natka pietruszki; sól; pieprz; cukier","Brak szczegółowych instrukcji."
